Parameter,Active,Default_value,VISA_Command,validated
COMMANDS/MARKER/DO/CALCULATE/MAX/5/ANY/ANY,,,:CALCulate:MARKer5:MAX,NOT YET
COMMANDS/MARKER/DO/CALCULATE/MAX/6/ANY/ANY,,,:CALCulate:MARKer6:MAX,NOT YET
COMMANDS/MARKER/DO/CALCULATE/NEXT/1/ANY/ANY,,,:CALCulate:MARKer1:NEXT,NOT YET
COMMANDS/MARKER/DO/CALCULATE/NEXT/2/ANY/ANY,,,:CALCulate:MARKer2:NEXT,NOT YET
COMMANDS/MARKER/DO/CALCULATE/NEXT/3/ANY/ANY,,,:CALCulate:MARKer3:NEXT,NOT YET
COMMANDS/MARKER/DO/CALCULATE/NEXT/4/ANY/ANY,,,:CALCulate:MARKer4:NEXT,NOT YET
COMMANDS/MARKER/DO/CALCULATE/NEXT/5/ANY/ANY,,,:CALCulate:MARKer5:NEXT,NOT YET
COMMANDS/MARKER/DO/CALCULATE/NEXT/6/ANY/ANY,,,:CALCulate:MARKer6:NEXT,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE 1/OFF/ANY/ANY,true,OFF,:CALCulate:MARKer1:STATe,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE 1/ON/ANY/ANY,true,ON,:CALCulate:MARKer1:STATe,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE 2/OFF/ANY/ANY,true,OFF,:CALCulate:MARKer2:STATe,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE 2/ON/ANY/ANY,true,ON,:CALCulate:MARKer2:STATe,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE 3/OFF/ANY/ANY,true,OFF,:CALCulate:MARKer3:STATe,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE 3/ON/ANY/ANY,true,ON,:CALCulate:MARKer3:STATe,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE 4/OFF/ANY/ANY,true,OFF,:CALCulate:MARKer4:STATe,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE 4/ON/ANY/ANY,true,ON,:CALCulate:MARKer4:STATe,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE 5/OFF/ANY/ANY,true,OFF,:CALCulate:MARKer5:STATe,NOT YET
